###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57428.25317,8.181,0.013,1938861,25487,c,0,19.08,19.80958,2.26207,3835.12,3964.58,4.2,3.74,-24.8,-0.487,19.01,20.6,02a57428o0090c
57445.25573,8.01,0.08,2270441,181838,o,0,9.34,25.78613,5.17889,8595.81,1257.66,4.34,3.95,27.1,-0.521,18.47,19.72,02a57445o0113o
57445.26808,7.511,0.016,3595482,57315,o,0,78.25,25.79062,5.18098,10013.97,10431.79,4.29,3.59,71.6,-0.486,18.47,19.72,02a57445o0137o
57445.27584,9.012,0.071,901761,64412,o,0,4.79,25.79344,5.1823,8291.86,681.24,4.79,3.84,13.1,-0.53,18.42,19.62,02a57445o0152o
57685.63288,9.086,0.074,842351,62285,c,0,75.36,122.8675,19.18049,7260.15,994.2,4.07,3.78,-80.7,-0.39,18.94,20.45,02a57685o0783c
57685.64926,9.226,0.132,740541,97925,c,0,5.52,122.87129,19.18014,7280.28,1041.31,4.1,3.78,-79.2,-0.389,18.24,19.01,02a57685o0806c
57689.62817,8.88,0.24,1018959,244339,c,0,0.36,123.77938,19.09941,8149.22,2359.15,3.83,3.48,-85.7,-0.414,19.49,21.19,02a57689o0790c
57689.64466,8.637,0.116,1274094,147541,c,0,0,123.78289,19.09912,8176.92,2400.14,3.82,3.44,-83.1,-0.413,19.25,20.69,02a57689o0814c
57693.61613,10.319,0.246,270578,66458,c,0,25.94,124.61403,19.03591,7467.19,1653.67,3.92,3.76,-85.3,-0.394,19.46,21.25,02a57693o0750c
57693.63251,9.545,0.083,552166,45983,c,0,0,124.61719,19.0357,7488.63,1696.04,3.95,3.78,-87.1,-0.386,19.14,20.9,02a57693o0774c
57693.64869,9.677,0.116,489077,56975,c,0,114.75,124.6203,19.03549,7442.01,1621.15,4,3.82,-86.5,-0.384,18.92,20.35,02a57693o0798c
57697.60371,8.119,0.053,2053217,109807,c,0,0,125.36813,18.9925,9633.83,3838.65,3.97,3.51,-85.5,-0.417,19.62,21.51,02a57697o0534c
57697.61915,8.118,0.045,2054106,91856,c,0,0,125.37078,18.99238,9651.99,3880.69,3.95,3.43,-84.8,-0.421,19.64,21.5,02a57697o0558c
57697.63263,9.063,0.037,860795,31479,c,0,2911.62,125.3731,18.99228,66.21,3833.17,4.3,3.76,62.2,-0.364,19.6,21.45,02a57697o0578c
57697.63554,8.03,0.068,2229407,152687,c,0,0,125.3736,18.99225,9605.37,3808.49,3.96,3.47,-84.7,-0.424,19.62,21.47,02a57697o0582c
57697.65102,7.61,0.014,3281950,45486,c,0,230.28,125.37625,18.99213,924.22,6528.83,3.97,3.63,40,-0.453,18.85,20,02a57697o0606c
57705.53247,7.071,0.103,5389798,555981,o,0,0,126.60989,18.97604,880.59,3827.98,3.69,3.55,-69.2,-0.437,18.57,19.41,02a57705o0637o
57705.53298,6.984,1.05,5838104,6129855,o,0,0,126.60995,18.97604,10469.57,3845.99,3.86,2.96,84,-0.517,18.61,19.46,02a57705o0638o
57705.54343,8.281,0.118,1768618,208286,o,0,0,126.61129,18.97611,10493.31,3889.05,3.83,2.89,84.1,-0.513,18.64,19.48,02a57705o0652o
57705.54709,7.326,0.065,4262960,275944,o,0,0,126.61175,18.97613,902.82,3870.61,3.62,3.48,-74.5,-0.445,18.61,19.45,02a57705o0657o
57705.55987,0,0,0,0,o,0,-2,126.61338,18.9762,10400.01,3774.46,3.84,2.96,82,-0.51,18.66,19.51,02a57705o0675o
57705.56284,7.252,0.097,4561904,441252,o,0,0,126.61376,18.97621,850.79,3795.86,3.61,3.44,-83.8,-0.443,18.67,19.51,02a57705o0680o
57705.57561,7.15,0.826,5010450,4138087,o,0,0,126.61538,18.97628,10428.51,3936.28,3.75,2.91,84.1,-0.508,18.71,19.58,02a57705o0698o
57705.57885,7.216,0.052,4716263,245540,o,0,0,126.61579,18.9763,836.05,3913.32,3.69,3.54,-88.5,-0.438,18.67,19.55,02a57705o0703o
57705.59127,0,0,0,0,o,0,-2,126.61736,18.97637,10423.97,3836.61,3.8,2.91,85.9,-0.504,18.72,19.63,02a57705o0719o
57705.59507,5.932,0.03,15394785,463831,o,0,0,126.61784,18.97639,873.33,3858.23,3.63,3.5,-83,-0.441,18.72,19.62,02a57705o0724o
57709.66018,7.62,0.528,3249468,1714167,o,0,0,127.1091,19.00973,5406.22,7612.94,3.75,3.71,-25.3,-0.457,17.83,18.08,02a57709o0020o
57717.638,8.58,0.026,1343182,34527,c,0,15.92,127.7635,19.16899,5069.36,7685.01,4.41,4.27,20.5,-0.374,18.58,20.46,02a57717o0009c
57717.65358,8.227,0.018,1857990,33225,c,0,60.62,127.76423,19.16942,5141.19,7762.39,4.35,4.23,67.9,-0.371,18.53,20.22,02a57717o0033c
57721.54585,8.594,0.035,1325644,46921,c,0,5.16,127.92344,19.29638,9095.6,9733.1,4.56,4.38,72.2,-0.387,19.59,21.76,02a57721o0650c
